"Link_id","Direction","Date","Min_speed","Max_speed","Mean_speed","Stdev_speed","Skewness_speed","Kurtosis_speed","Entries","UniqueEntries"
163204843,1,"2017-01-12 22:45:00",26,26,26,NA,NA,NA,1,1
163204843,1,"2017-01-13 05:45:00",33,33,33,NA,NA,NA,1,1
163204843,1,"2017-01-13 10:45:00",34,34,34,NA,NA,NA,1,1
163204843,1,"2017-01-13 11:30:00",27,27,27,NA,NA,NA,1,1
163204843,1,"2017-01-13 13:45:00",33,33,33,NA,NA,NA,1,1
163204843,1,"2017-01-13 15:00:00",30,30,30,NA,NA,NA,1,1
163204843,1,"2017-01-13 15:15:00",30,30,30,NA,NA,NA,1,1
163204843,1,"2017-01-13 15:30:00",30,30,30,NA,NA,NA,1,1
163204843,1,"2017-01-13 16:30:00",21,21,21,NA,NA,NA,1,1
163204843,1,"2017-01-13 18:00:00",40,40,40,NA,NA,NA,1,1
163204843,1,"2017-01-14 08:30:00",24,24,24,NA,NA,NA,1,1
163204843,1,"2017-01-14 08:45:00",46,46,46,NA,NA,NA,1,1
163204843,1,"2017-01-14 11:00:00",22,22,22,NA,NA,NA,1,1
163204843,1,"2017-01-14 12:45:00",37,37,37,NA,NA,NA,1,1
163204843,1,"2017-01-14 14:30:00",23,34,28,7.77817459305202,NA,NA,2,2
163204843,1,"2017-01-14 15:00:00",35,35,35,NA,NA,NA,1,1
163204843,1,"2017-01-14 16:45:00",39,39,39,NA,NA,NA,1,1
163204843,1,"2017-01-14 22:00:00",28,28,28,NA,NA,NA,1,1
163204843,1,"2017-01-15 11:45:00",41,41,41,NA,NA,NA,1,1
163204843,1,"2017-01-15 12:00:00",24,24,24,NA,NA,NA,1,1
163204843,1,"2017-01-15 13:30:00",16,16,16,NA,NA,NA,1,1
163204843,1,"2017-01-15 14:15:00",35,35,35,NA,NA,NA,1,1
163204843,1,"2017-01-15 18:00:00",27,32,29,3.53553390593274,NA,NA,2,2
163204843,1,"2017-01-15 19:15:00",35,35,35,NA,NA,NA,1,1
163204843,1,"2017-01-15 19:45:00",21,21,21,NA,NA,NA,1,1
163204843,1,"2017-01-15 20:00:00",41,41,41,NA,NA,NA,1,1
163204843,1,"2017-01-15 20:45:00",22,22,22,0,NA,NA,2,1
163204843,1,"2017-01-15 22:45:00",35,35,35,NA,NA,NA,1,1
163204843,1,"2017-01-16 13:00:00",2,2,2,NA,NA,NA,1,1
163204843,1,"2017-01-16 13:30:00",13,13,13,NA,NA,NA,1,1
163204843,1,"2017-01-16 14:15:00",36,36,36,NA,NA,NA,1,1
163204843,1,"2017-01-16 17:00:00",27,27,27,NA,NA,NA,1,1
163204843,1,"2017-01-16 18:00:00",44,44,44,NA,NA,NA,1,1
163204843,1,"2017-01-16 18:30:00",24,24,24,NA,NA,NA,1,1
163204843,1,"2017-01-16 18:45:00",30,30,30,NA,NA,NA,1,1
163204843,1,"2017-01-16 21:15:00",35,40,37,3.53553390593274,NA,NA,2,2
163204843,1,"2017-01-17 10:15:00",38,38,38,NA,NA,NA,1,1
163204843,1,"2017-01-17 12:30:00",31,31,31,NA,NA,NA,1,1
163204843,1,"2017-01-17 12:45:00",11,11,11,NA,NA,NA,1,1
163204843,1,"2017-01-17 13:15:00",20,20,20,NA,NA,NA,1,1
163204843,1,"2017-01-17 15:15:00",37,37,37,NA,NA,NA,1,1
163204843,1,"2017-01-17 20:45:00",28,28,28,NA,NA,NA,1,1
163204843,1,"2017-01-17 21:00:00",42,42,42,NA,NA,NA,1,1
163204843,1,"2017-01-18 07:30:00",37,37,37,NA,NA,NA,1,1
163204843,1,"2017-01-18 09:15:00",39,39,39,NA,NA,NA,1,1
163204843,1,"2017-01-18 11:00:00",39,39,39,NA,NA,NA,1,1
163204843,1,"2017-01-18 11:15:00",31,31,31,NA,NA,NA,1,1
163204843,1,"2017-01-18 13:30:00",24,35,29,7.77817459305202,NA,NA,2,2
163204843,1,"2017-01-18 14:00:00",30,30,30,NA,NA,NA,1,1
163204843,1,"2017-01-18 19:45:00",40,40,40,NA,NA,NA,1,1
163204843,1,"2017-01-18 23:15:00",19,19,19,NA,NA,NA,1,1
163204843,1,"2017-01-19 00:30:00",31,31,31,NA,NA,NA,1,1
163204843,1,"2017-01-19 02:00:00",29,29,29,NA,NA,NA,1,1
163204843,1,"2017-01-19 07:45:00",36,36,36,NA,NA,NA,1,1
163204843,1,"2017-01-19 10:45:00",26,26,26,NA,NA,NA,1,1
163204843,1,"2017-01-19 11:45:00",27,27,27,NA,NA,NA,1,1
163204843,1,"2017-01-19 13:00:00",15,23,19,5.65685424949238,NA,NA,2,2
163204843,1,"2017-01-19 14:30:00",42,42,42,NA,NA,NA,1,1
163204843,1,"2017-01-19 15:30:00",32,32,32,NA,NA,NA,1,1
163204843,1,"2017-01-19 16:30:00",32,32,32,NA,NA,NA,1,1
163204843,1,"2017-01-20 08:30:00",26,32,29,3,0,NA,3,1
163204843,1,"2017-01-20 09:00:00",23,23,23,NA,NA,NA,1,1
163204843,1,"2017-01-20 10:00:00",43,43,43,NA,NA,NA,1,1
163204843,1,"2017-01-20 13:45:00",20,20,20,NA,NA,NA,1,1
163204843,1,"2017-01-20 15:30:00",43,43,43,NA,NA,NA,1,1
163204843,1,"2017-01-20 17:00:00",31,31,31,NA,NA,NA,1,1
163204843,1,"2017-01-20 19:15:00",36,36,36,NA,NA,NA,1,1
